ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,7,,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
2,2026-07-06,,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
3,Episodic Memory,10:PROVIDES_CONTEXT_TO|41:BLOCKS,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
4,Semantic Memory,13:PROVIDES_FACTS_TO|30:VALIDATES,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
5,Procedural Memory,11:PROVIDES_PATTERNS_TO,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
6,Working Memory,13:HOLDS|32:CLEARED_AT,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
7,Prospective Memory,13:SCHEDULES_INTO,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
8,Associative Memory,3:LINKS,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
9,Session State,10:CONTAINS|13:CONTAINS,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
10,Conversation History,9:REQUIRES|6:FEEDS,T-CONCEPT,file://Knowledge_Graph_Graphify/ckg-agent-memory-v0.1.md,sha256:8edf28d0b62715cfca3204099a4d59f861049e46307f577b68218e342bc1c0bc
