ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Agent,7:REQUIRES|8:REQUIRES|9:REQUIRES,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
2,Task,,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
3,Crew,1:REQUIRES|2:REQUIRES|5:DEFAULT_PROCESS,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
4,Flow,,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
5,Process.sequential,,T-PROCESSTYPE,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
6,Process.hierarchical,11:PROHIBITS,T-PROCESSTYPE,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
7,param:role,,T-REQUIREDPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
8,param:goal,,T-REQUIREDPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
9,param:backstory,,T-REQUIREDPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
10,param:llm,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
11,param:tools,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
12,param:verbose,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
13,param:allow_delegation,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
14,param:max_iter,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
15,param:respect_context_window,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
16,param:reasoning,17:PAIRS_WITH,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
17,param:max_reasoning_attempts,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
18,param_DEPRECATED:allow_code_execution,,T-DEPRECATEDPA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
19,task_param:description,,T-REQUIREDPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
20,task_param:expected_output,,T-REQUIREDPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
21,task_param:output_pydantic,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
22,task_param:output_json,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
23,task_param:context,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
24,task_param:async_execution,23:REQUIRES,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
25,task_param:guardrail,,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
26,task_param:guardrail_max_retries,27:REPLACES,T-OPTIONALPARA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
27,task_param_DEPRECATED:max_retries,,T-DEPRECATEDPA,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
28,TaskOutput.raw,,T-FIELD,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
29,TaskOutput.pydantic,,T-FIELD,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
30,TaskOutput.json_dict,,T-FIELD,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
31,ToolPattern:decorator,,T-PATTERN,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
32,ToolPattern:BaseTool,,T-PATTERN,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
33,ImportPath:canonical,,T-IMPORTPATH,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
34,ImportPath:deprecated,33:DEPRECATED_BY,T-IMPORTPATH,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
35,ToolField:args_schema,,T-REQUIREDFIEL,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
36,Memory,,T-UNIFIEDCLASS,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
37,MemoryParam:embedder,,T-PARAM,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
38,MemoryEmbedderMismatch,,T-KNOWNBUG,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
39,FlowDecorator:@start,,T-DECORATOR,file://Knowledge_Graph_Graphify/ckg-crewai-v0.1.md,sha256:6ad45bfdfcb3a057d19d7712bab74109e633e7eca07fe2bc49d53be02f70b8ac
