ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Document,2:PARSED_INTO,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
2,Node,3:ORGANIZED_IN,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
3,Index,4:POWERS|6:BACKED_BY|6:DISTINCT_FROM,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
4,Retriever,5:USED_BY,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
5,QueryEngine,28:DISTINCT_FROM,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
6,VectorStore,,T-COMPONENT,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
7,VectorStoreIndex,,T-INDEXTYPE,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
8,SummaryIndex,9:DISTINCT_FROM,T-INDEXTYPE,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
9,DocumentSummaryIndex,,T-INDEXTYPE,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
10,KnowledgeGraphIndex,,T-INDEXTYPE,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
11,PropertyGraphIndex,10:SUPERSEDES,T-INDEXTYPE,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
12,SentenceSplitter,,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
13,SemanticSplitter,32:REQUIRES,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
14,MarkdownNodeParser,,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
15,CodeSplitter,,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
16,SentenceWindowNodeParser,,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
17,HierarchicalNodeParser,21:REQUIRES,T-NODEPARSER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
18,VectorIndexRetriever,7:DEFAULT_FOR,T-RETRIEVER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
19,SummaryIndexLLMRetriever,8:DEFAULT_FOR,T-RETRIEVER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
20,BM25Retriever,18:COMBINES_WITH,T-RETRIEVER,file://Knowledge_Graph_Graphify/ckg-llamaindex-v0.1.md,sha256:d4b5311e306aa9e67db6ccf1e93b5f5f7fcfbf467453bf5ecf8c49868650afea
