ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,MCP 2026-07-28,,T-CONCEPT,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
2,Host,1:REQUIRES:0.90,T-ARCH,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
3,Client,2:REQUIRES:0.90,T-ARCH,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
4,Server,3:REQUIRES:0.90,T-ARCH,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
5,stdio Transport,1:REQUIRES:0.90,T-TRANSPORT,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
6,Streamable HTTP Transport,1:REQUIRES:0.90,T-TRANSPORT,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
7,SSE Transport (deprecated),,T-TRANSPORT,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
8,Tools Primitive,4:REQUIRES:0.90,T-PRIMITIVE,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
9,Resources Primitive,4:REQUIRES:0.90,T-PRIMITIVE,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
10,Prompts Primitive,4:REQUIRES:0.90,T-PRIMITIVE,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
11,Sampling Primitive,4:REQUIRES:0.90,T-PRIMITIVE,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
12,Elicitation Primitive,4:REQUIRES:0.90,T-PRIMITIVE,https://modelcontextprotocol.io/specification/2026-07-28,sha256-canon:37917e212996002bfe96174fb481b8f5d2ba0b0bbe8b0943d4dd70712b47152d
