ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Azure AI Foundry,,T-PLATFORM,https://learn.microsoft.com/en-us/azure/foundry/what-is-foundry,sha256:b28ae1d5b5bb5a1c175a0604817e413283a74e719523a7466af895e80ce3e88f
2,Azure AI Foundry Agent Service,1:PART_OF,T-SERVICE,https://learn.microsoft.com/en-us/azure/foundry/agents/overview,sha256:aa6c78d74757febfd28cf25468eaeef2f3935ff0918466d4f3cfcb5f5fae3f1c
3,Microsoft Semantic Kernel,38:AVAILABLE_IN|39:AVAILABLE_IN|40:AVAILABLE_IN,T-SDK,https://learn.microsoft.com/en-us/semantic-kernel/overview/,sha256:e9134ea21d87afec43f006cb2c3c039e39d730fefce32523a609b4d6fb99f531
4,Semantic Kernel Kernel Object,3:PART_OF,T-CORE,https://learn.microsoft.com/en-us/semantic-kernel/overview/,sha256:e9134ea21d87afec43f006cb2c3c039e39d730fefce32523a609b4d6fb99f531
5,Semantic Kernel Plugin,4:REGISTERED_IN,T-EXTENSION,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/,sha256:07717f413255309a9a30a39a4327364ea99c4ecbf96a9ebfc218dcd182fcdc0d
6,Kernel Function,5:PART_OF|7:ENABLES,T-EXTENSION,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/,sha256:07717f413255309a9a30a39a4327364ea99c4ecbf96a9ebfc218dcd182fcdc0d
7,Function Calling,,T-MECHANISM,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/,sha256:07717f413255309a9a30a39a4327364ea99c4ecbf96a9ebfc218dcd182fcdc0d
8,MCP Plugin,5:SUBTYPE_OF|12:CONSUMES,T-EXTENSION,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
9,MCPStreamableHttpPlugin,8:IMPLEMENTS|13:CONNECTS_TO|13:REQUIRES,T-CONNECTOR,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
10,MCPSsePlugin,8:IMPLEMENTS|13:CONNECTS_TO,T-CONNECTOR,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
11,MCPStdioPlugin,8:IMPLEMENTS|13:CONNECTS_TO,T-CONNECTOR,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
12,Model Context Protocol (MCP),,T-PROTOCOL,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
13,MCP Server,12:IMPLEMENTS|35:EXPOSES,T-PROTOCOL,https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/adding-mcp-plugins,sha256:3da46c8162c9d975c7077acb2177cb629bbf2cdda695f5d2125106f985eafa97
14,Semantic Kernel Agent Framework,3:PART_OF,T-FRAMEWORK,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/,sha256:7d1f1291b4b7e8917b0235379ab26e8d82f0e57695da7d828b716447a9877ea8
15,ChatCompletionAgent,14:IMPLEMENTS|4:REQUIRES,T-AGENT,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/,sha256:7d1f1291b4b7e8917b0235379ab26e8d82f0e57695da7d828b716447a9877ea8
16,AzureAIAgent,14:IMPLEMENTS|4:REQUIRES|2:RUNS_ON,T-AGENT,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/,sha256:7d1f1291b4b7e8917b0235379ab26e8d82f0e57695da7d828b716447a9877ea8
