ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Palantir Foundry,4:REQUIRES,T-PLATFORM,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,sha256:a4fef9542c4d1a99a9265df88948e5a115223940db01a0bd01f1d8b6c00acd46
2,Palantir Ontology,1:PART_OF|10:IMPLEMENTS,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
3,Palantir AIP (Artificial Intelligence Platform),1:PART_OF|2:REQUIRES,T-AI,https://www.palantir.com/docs/foundry/aip/overview,sha256:90917a021e41951ad3ec482fc930df125912a398003de76746351e4b98df1ec7
4,Palantir Apollo,1:DEPLOYS|5:DEPLOYS,T-OPS,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,sha256:a4fef9542c4d1a99a9265df88948e5a115223940db01a0bd01f1d8b6c00acd46
5,Palantir Gotham,1:INTEGRATES_WITH,T-PLATFORM,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,sha256:a4fef9542c4d1a99a9265df88948e5a115223940db01a0bd01f1d8b6c00acd46
6,Object Type,2:PART_OF|15:DERIVED_FROM,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
7,Link Type,2:PART_OF|6:CONNECTS,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
8,Action Type,2:PART_OF|6:MUTATES|11:IMPLEMENTS,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
9,Function,2:PART_OF|6:COMPUTES_ON,T-ONTOLOGY,https://www.palantir.com/docs/foundry/functions/overview,sha256:5ccd268b22ffeb8699e13c86898ce019f9777ccdbb9182223c0c87feac098fe9
10,Semantic Layer over Enterprise Data,15:REQUIRES,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
11,Ontology Write-Back,,T-ONTOLOGY,https://www.palantir.com/docs/foundry/ontology/overview,sha256:0369b85dd50f8aa7b4ad367b980c8f7ad1c4a4fb7b97c5f2e4c8aa3698e93305
